Location,Month,Pollutant,Concentration
/S BARLBOROUGH BROO,09,Alky pH 4.5,310.0000
/S BARLBOROUGH BROO,09,Ammonia(N),0.0063
/S BARLBOROUGH BROO,09,C - Org Filt,301.0000
/S BARLBOROUGH BROO,09,Chloride Ion,42.0000
/S BARLBOROUGH BROO,09,Cond @ 25C,949.0000
/S BARLBOROUGH BROO,09,Flow Type,5.0000
/S BARLBOROUGH BROO,09,NH3 un-ion,0.0002
/S BARLBOROUGH BROO,09,Nitrate-N,1.8900
/S BARLBOROUGH BROO,09,Nitrite-N,0.0054
/S BARLBOROUGH BROO,09,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,09,Temp Water,14.7000
/S BARLBOROUGH BROO,09,pH,8.3700
/S BARLBOROUGH BROO,10,Alky pH 4.5,250.0000
/S BARLBOROUGH BROO,10,Ammonia(N),0.0020
/S BARLBOROUGH BROO,10,C - Org Filt,301.0000
/S BARLBOROUGH BROO,10,Chloride Ion,54.0000
/S BARLBOROUGH BROO,10,Cond @ 25C,903.0000
/S BARLBOROUGH BROO,10,Flow Type,5.0000
/S BARLBOROUGH BROO,10,NH3 un-ion,0.0000
/S BARLBOROUGH BROO,10,Nitrate-N,2.9800
/S BARLBOROUGH BROO,10,Nitrite-N,0.0230
/S BARLBOROUGH BROO,10,O Diss %sat,9901.0000
/S BARLBOROUGH BROO,10,Temp Water,11.9000
/S BARLBOROUGH BROO,10,pH,8.1800
A BECK AT BENTLEY MOOR LAN,02,Aldrin,0.0010
A BECK AT BENTLEY MOOR LAN,02,C - Org Filt,301.0000
A BECK AT BENTLEY MOOR LAN,02,Carbon Tet,0.1000
A BECK AT BENTLEY MOOR LAN,02,Chloroform,0.1700
A BECK AT BENTLEY MOOR LAN,02,DDT (PP),0.0020
A BECK AT BENTLEY MOOR LAN,02,Dieldrin,0.0020
A BECK AT BENTLEY MOOR LAN,02,Endrin,0.0030
A BECK AT BENTLEY MOOR LAN,02,HEXACHLORO 1,0.0001
A BECK AT BENTLEY MOOR LAN,02,Hexachlorbnz,0.0001
A BECK AT BENTLEY MOOR LAN,02,Isodrin,0.0010
A BECK AT BENTLEY MOOR LAN,02,Pentachlrphl,0.0200
A BECK AT BENTLEY MOOR LAN,02,TetClEthene,0.1000
A BECK AT BENTLEY MOOR LAN,02,Trichloroeth,0.1000
A BECK AT BENTLEY MOOR LAN,02,pH,7.7000
A BECK AT BENTLEY MOOR LAN,06,Alky pH 4.5,240.0000
A BECK AT BENTLEY MOOR LAN,06,Ammonia(N),0.0300
A BECK AT BENTLEY MOOR LAN,06,Cond @ 25C,1050.0000
A BECK AT BENTLEY MOOR LAN,06,NH3 un-ion,0.0004
A BECK AT BENTLEY MOOR LAN,06,Nitrate-N,14.9000
A BECK AT BENTLEY MOOR LAN,06,Nitrite-N,0.1400
A BECK AT BENTLEY MOOR LAN,06,O Diss %sat,9901.0000
A BECK AT BENTLEY MOOR LAN,06,Temp Water,11.8000
A BECK AT BENTLEY MOOR LAN,06,pH,7.7600
A BECK AT BENTLEY MOOR LAN,07,Alky pH 4.5,240.0000
A BECK AT BENTLEY MOOR LAN,07,Ammonia(N),0.1600
A BECK AT BENTLEY MOOR LAN,07,Cond @ 25C,1146.0000
A BECK AT BENTLEY MOOR LAN,07,NH3 un-ion,0.0023
A BECK AT BENTLEY MOOR LAN,07,Nitrate-N,14.9000
A BECK AT BENTLEY MOOR LAN,07,Nitrite-N,0.1200
A BECK AT BENTLEY MOOR LAN,07,O Diss %sat,9901.0000
A BECK AT BENTLEY MOOR LAN,07,Temp Water,13.5000
A BECK AT BENTLEY MOOR LAN,07,pH,7.7900
A BECK AT BENTLEY MOOR LAN,08,Alky pH 4.5,240.0000
A BECK AT BENTLEY MOOR LAN,08,Ammonia(N),0.0510
A BECK AT BENTLEY MOOR LAN,08,Cond @ 25C,1135.0000
A BECK AT BENTLEY MOOR LAN,08,NH3 un-ion,0.0009
A BECK AT BENTLEY MOOR LAN,08,Nitrate-N,16.9000
A BECK AT BENTLEY MOOR LAN,08,Nitrite-N,0.1500
A BECK AT BENTLEY MOOR LAN,08,O Diss %sat,9901.0000
A BECK AT BENTLEY MOOR LAN,08,Temp Water,15.5000
A BECK AT BENTLEY MOOR LAN,08,pH,7.8000
A BECK AT BENTLEY MOOR LAN,09,Alky pH 4.5,250.0000
A BECK AT BENTLEY MOOR LAN,09,Ammonia(N),1.5000
A BECK AT BENTLEY MOOR LAN,09,Cond @ 25C,1061.0000
A BECK AT BENTLEY MOOR LAN,09,NH3 un-ion,0.0184
A BECK AT BENTLEY MOOR LAN,09,Nitrate-N,15.7000
A BECK AT BENTLEY MOOR LAN,09,Nitrite-N,0.3100
A BECK AT BENTLEY MOOR LAN,09,O Diss %sat,9901.0000
A BECK AT BENTLEY MOOR LAN,09,Temp Water,15.4000
A BECK AT BENTLEY MOOR LAN,09,pH,7.6500
A BECK AT BENTLEY MOOR LAN,10,Alky pH 4.5,220.0000
A BECK AT BENTLEY MOOR LAN,10,Ammonia(N),0.0730
A BECK AT BENTLEY MOOR LAN,10,Cond @ 25C,1103.0000
A BECK AT BENTLEY MOOR LAN,10,NH3 un-ion,0.0010
A BECK AT BENTLEY MOOR LAN,10,Nitrate-N,16.9000
A BECK AT BENTLEY MOOR LAN,10,Nitrite-N,0.1000
A BECK AT BENTLEY MOOR LAN,10,O Diss %sat,9901.0000
A BECK AT BENTLEY MOOR LAN,10,Temp Water,11.9000
A BECK AT BENTLEY MOOR LAN,10,pH,7.8200
A BECK AT BENTLEY MOOR LAN,11,Alky pH 4.5,230.0000
A BECK AT BENTLEY MOOR LAN,11,Ammonia(N),0.0640
A BECK AT BENTLEY MOOR LAN,11,Cond @ 25C,1155.0000
A BECK AT BENTLEY MOOR LAN,11,NH3 un-ion,0.0007
A BECK AT BENTLEY MOOR LAN,11,Nitrate-N,20.8000
A BECK AT BENTLEY MOOR LAN,11,Nitrite-N,0.1600
A BECK AT BENTLEY MOOR LAN,11,O Diss %sat,9901.0000
A BECK AT BENTLEY MOOR LAN,11,Temp Water,9.5000
A BECK AT BENTLEY MOOR LAN,11,pH,7.7800
A BECK AT HAMPOL,06,Alky pH 4.5,200.0000
A BECK AT HAMPOL,06,Ammonia(N),1.2000
A BECK AT HAMPOL,06,Cond @ 25C,1022.0000
A BECK AT HAMPOL,06,NH3 un-ion,0.0100
A BECK AT HAMPOL,06,Nitrate-N,11.2000
A BECK AT HAMPOL,06,Nitrite-N,0.7800
A BECK AT HAMPOL,06,O Diss %sat,9901.0000
A BECK AT HAMPOL,06,Temp Water,13.0000
A BECK AT HAMPOL,06,pH,7.5600
A BECK AT HAMPOL,07,Alky pH 4.5,180.0000
A BECK AT HAMPOL,07,Ammonia(N),1.2000
A BECK AT HAMPOL,07,Cond @ 25C,1146.0000
A BECK AT HAMPOL,07,NH3 un-ion,0.0121
A BECK AT HAMPOL,07,Nitrate-N,16.4000
A BECK AT HAMPOL,07,Nitrite-N,0.6400
A BECK AT HAMPOL,07,O Diss %sat,9901.0000
A BECK AT HAMPOL,07,Temp Water,14.3000
A BECK AT HAMPOL,07,pH,7.6000
A BECK AT HAMPOL,08,Alky pH 4.5,200.0000
A BECK AT HAMPOL,08,Ammonia(N),0.8600
A BECK AT HAMPOL,08,Cond @ 25C,1141.0000
A BECK AT HAMPOL,08,NH3 un-ion,0.0090
A BECK AT HAMPOL,08,Nitrate-N,13.4000
A BECK AT HAMPOL,08,Nitrite-N,0.6000
A BECK AT HAMPOL,08,O Diss %sat,9901.0000
A BECK AT HAMPOL,08,Temp Water,15.4000
A BECK AT HAMPOL,08,pH,7.5800
A BECK AT HAMPOL,09,Alky pH 4.5,180.0000
A BECK AT HAMPOL,09,Ammonia(N),0.6400
A BECK AT HAMPOL,09,Cond @ 25C,1210.0000
A BECK AT HAMPOL,09,NH3 un-ion,0.0047
A BECK AT HAMPOL,09,Nitrate-N,17.3000
A BECK AT HAMPOL,09,Nitrite-N,0.6900
A BECK AT HAMPOL,09,O Diss %sat,9901.0000
A BECK AT HAMPOL,09,Temp Water,16.3000
A BECK AT HAMPOL,09,pH,7.4000
A BECK AT HAMPOL,10,Alky pH 4.5,150.0000
A BECK AT HAMPOL,10,Ammonia(N),0.1300
A BECK AT HAMPOL,10,Cond @ 25C,784.0000
A BECK AT HAMPOL,10,NH3 un-ion,0.0014
A BECK AT HAMPOL,10,Nitrate-N,10.9000
A BECK AT HAMPOL,10,Nitrite-N,0.1300
A BECK AT HAMPOL,10,O Diss %sat,9901.0000
A BECK AT HAMPOL,10,Temp Water,11.5000
A BECK AT HAMPOL,10,pH,7.7300
A BECK AT HAMPOL,11,Alky pH 4.5,190.0000
A BECK AT HAMPOL,11,Ammonia(N),0.6400
A BECK AT HAMPOL,11,Cond @ 25C,1190.0000
A BECK AT HAMPOL,11,NH3 un-ion,0.0042
A BECK AT HAMPOL,11,Nitrate-N,19.5000
A BECK AT HAMPOL,11,Nitrite-N,0.5500
A BECK AT HAMPOL,11,O Diss %sat,9901.0000
A BECK AT HAMPOL,11,Temp Water,10.2000
A BECK AT HAMPOL,11,pH,7.5400
A BECK AT THORPE MARS,07,Alky pH 4.5,250.0000
A BECK AT THORPE MARS,07,Ammonia(N),0.0790
A BECK AT THORPE MARS,07,BOD ATU,1.6000
A BECK AT THORPE MARS,07,Cond @ 25C,1133.0000
A BECK AT THORPE MARS,07,NH3 un-ion,0.0011
A BECK AT THORPE MARS,07,Nitrate-N,10.9000
A BECK AT THORPE MARS,07,Nitrite-N,0.1400
A BECK AT THORPE MARS,07,O Diss %sat,9901.0000
A BECK AT THORPE MARS,07,Temp Water,15.0000
A BECK AT THORPE MARS,07,pH,7.7200
A BECK AT THORPE MARS,08,Alky pH 4.5,260.0000
A BECK AT THORPE MARS,08,Ammonia(N),0.0610
A BECK AT THORPE MARS,08,BOD ATU,2.0000
A BECK AT THORPE MARS,08,Cond @ 25C,1167.0000
A BECK AT THORPE MARS,08,NH3 un-ion,0.0007
A BECK AT THORPE MARS,08,Nitrate-N,13.0000
A BECK AT THORPE MARS,08,Nitrite-N,0.0460
A BECK AT THORPE MARS,08,O Diss %sat,9901.0000
A BECK AT THORPE MARS,08,Temp Water,14.0000
A BECK AT THORPE MARS,08,pH,7.6800
A BECK AT THORPE MARS,09,Alky pH 4.5,240.0000
A BECK AT THORPE MARS,09,Ammonia(N),0.0350
A BECK AT THORPE MARS,09,BOD ATU,1.0000
A BECK AT THORPE MARS,09,Cond @ 25C,1138.0000
A BECK AT THORPE MARS,09,NH3 un-ion,0.0007
A BECK AT THORPE MARS,09,Nitrate-N,13.9000
A BECK AT THORPE MARS,09,Nitrite-N,0.1400
A BECK AT THORPE MARS,09,O Diss %sat,9901.0000
A BECK AT THORPE MARS,09,Temp Water,13.1000
A BECK AT THORPE MARS,09,pH,7.9600
A BECK AT THORPE MARS,10,Alky pH 4.5,230.0000
A BECK AT THORPE MARS,10,Ammonia(N),0.0650
A BECK AT THORPE MARS,10,BOD ATU,1.4000
A BECK AT THORPE MARS,10,Cond @ 25C,1055.0000
A BECK AT THORPE MARS,10,NH3 un-ion,0.0007
A BECK AT THORPE MARS,10,Nitrate-N,13.9000
A BECK AT THORPE MARS,10,Nitrite-N,0.0820
A BECK AT THORPE MARS,10,O Diss %sat,9901.0000
A BECK AT THORPE MARS,10,Temp Water,8.8000
A BECK AT THORPE MARS,10,pH,7.7800
A BECK U/S SOUTH ELMSALL ST,06,Alky pH 4.5,210.0000
A BECK U/S SOUTH ELMSALL ST,06,Ammonia(N),0.0420
A BECK U/S SOUTH ELMSALL ST,06,Cond @ 25C,1064.0000
A BECK U/S SOUTH ELMSALL ST,06,NH3 un-ion,0.0008
A BECK U/S SOUTH ELMSALL ST,06,Nitrate-N,4.6600
A BECK U/S SOUTH ELMSALL ST,06,Nitrite-N,0.0370
A BECK U/S SOUTH ELMSALL ST,06,O Diss %sat,9901.0000
A BECK U/S SOUTH ELMSALL ST,06,Temp Water,11.8000
A BECK U/S SOUTH ELMSALL ST,06,pH,7.9800
A BECK U/S SOUTH ELMSALL ST,07,Alky pH 4.5,180.0000
A BECK U/S SOUTH ELMSALL ST,07,Ammonia(N),0.0420
A BECK U/S SOUTH ELMSALL ST,07,BOD ATU,2.0000
A BECK U/S SOUTH ELMSALL ST,07,Cond @ 25C,882.0000
A BECK U/S SOUTH ELMSALL ST,07,NH3 un-ion,0.0012
A BECK U/S SOUTH ELMSALL ST,07,Nitrate-N,2.6700
A BECK U/S SOUTH ELMSALL ST,07,Nitrite-N,0.0330
A BECK U/S SOUTH ELMSALL ST,07,O Diss %sat,9901.0000
A BECK U/S SOUTH ELMSALL ST,07,Temp Water,15.8000
A BECK U/S SOUTH ELMSALL ST,07,pH,8.0000
A BECK U/S SOUTH ELMSALL ST,08,Alky pH 4.5,160.0000
A BECK U/S SOUTH ELMSALL ST,08,Ammonia(N),0.0300
A BECK U/S SOUTH ELMSALL ST,08,Cond @ 25C,976.0000
A BECK U/S SOUTH ELMSALL ST,08,NH3 un-ion,0.0006
A BECK U/S SOUTH ELMSALL ST,08,Nitrate-N,2.0700
A BECK U/S SOUTH ELMSALL ST,08,Nitrite-N,0.0260
A BECK U/S SOUTH ELMSALL ST,08,O Diss %sat,9901.0000
A BECK U/S SOUTH ELMSALL ST,08,Temp Water,14.9000
A BECK U/S SOUTH ELMSALL ST,08,pH,7.8600
A BECK U/S SOUTH ELMSALL ST,09,Alky pH 4.5,170.0000
A BECK U/S SOUTH ELMSALL ST,09,Ammonia(N),0.1400
A BECK U/S SOUTH ELMSALL ST,09,BOD ATU,2.1000
A BECK U/S SOUTH ELMSALL ST,09,Cond @ 25C,753.0000
A BECK U/S SOUTH ELMSALL ST,09,NH3 un-ion,0.0016
A BECK U/S SOUTH ELMSALL ST,09,Nitrate-N,2.2300
A BECK U/S SOUTH ELMSALL ST,09,Nitrite-N,0.0750
A BECK U/S SOUTH ELMSALL ST,09,O Diss %sat,9901.0000
A BECK U/S SOUTH ELMSALL ST,09,Temp Water,14.0000
A BECK U/S SOUTH ELMSALL ST,09,pH,7.6700
A BECK U/S SOUTH ELMSALL ST,10,Alky pH 4.5,210.0000
A BECK U/S SOUTH ELMSALL ST,10,Ammonia(N),0.0300
A BECK U/S SOUTH ELMSALL ST,10,BOD ATU,1.8000
A BECK U/S SOUTH ELMSALL ST,10,Cond @ 25C,1085.0000
A BECK U/S SOUTH ELMSALL ST,10,NH3 un-ion,0.0004
A BECK U/S SOUTH ELMSALL ST,10,Nitrate-N,3.2800
A BECK U/S SOUTH ELMSALL ST,10,Nitrite-N,0.0240
A BECK U/S SOUTH ELMSALL ST,10,O Diss %sat,9901.0000
A BECK U/S SOUTH ELMSALL ST,10,Temp Water,9.3000
A BECK U/S SOUTH ELMSALL ST,10,pH,7.9400
ABBOTS HOUSE FAR,HL,2024-03-01T11:20:00,3224.8824
ABURN ST,01,Ammonia(N),0.5000
ABURN ST,01,BOD ATU,2.6333
ABURN ST,01,COD as O2,26.0000
ABURN ST,01,PE - Calc,197106.0000
ABURN ST,01,Samp Freq,24.0000
ABURN ST,02,Ammonia(N),0.5000
ABURN ST,02,BOD ATU,2.6333
ABURN ST,02,COD as O2,23.5000
ABURN ST,03,Ammonia(N),0.5000
ABURN ST,03,BOD ATU,2.6333
ABURN ST,03,COD as O2,24.0000
ABURN ST,04,Ammonia(N),0.5000
ABURN ST,04,BOD ATU,2.0000
ABURN ST,04,COD as O2,22.0000
ABURN ST,05,Ammonia(N),0.5000
ABURN ST,05,BOD ATU,2.3000
ABURN ST,05,COD as O2,27.0000
ABURN ST,06,Ammonia(N),0.5000
ABURN ST,06,BOD ATU,4.0000
ABURN ST,06,COD as O2,39.5000
ABURN ST,07,Ammonia(N),0.5000
ABURN ST,07,BOD ATU,2.2667
ABURN ST,07,COD as O2,22.5000
ABURN ST,08,Ammonia(N),0.5000
ABURN ST,08,BOD ATU,2.9500
ABURN ST,08,COD as O2,28.0000
ABURN ST,09,Ammonia(N),0.5000
ABURN ST,09,BOD ATU,2.4750
ABURN ST,09,COD as O2,27.0000
ABURN ST,10,Ammonia(N),0.5000
ABURN ST,10,BOD ATU,3.3333
ABURN ST,10,COD as O2,35.0000
ABURN STW CRUDE INLE,01,BOD ATU,122.5000
ABURN STW CRUDE INLE,01,COD as O2,289.0000
ABURN STW CRUDE INLE,02,BOD ATU,137.0000
ABURN STW CRUDE INLE,02,COD as O2,344.0000
ABURN STW CRUDE INLE,03,BOD ATU,206.5000
ABURN STW CRUDE INLE,03,COD as O2,783.5000
ABURN STW CRUDE INLE,04,BOD ATU,106.0000
ABURN STW CRUDE INLE,04,COD as O2,315.0000
ABURN STW CRUDE INLE,05,BOD ATU,332.5000
ABURN STW CRUDE INLE,05,COD as O2,896.5000
ABURN STW CRUDE INLE,06,BOD ATU,302.0000
ABURN STW CRUDE INLE,06,COD as O2,784.5000
ABURN STW CRUDE INLE,07,BOD ATU,144.5000
ABURN STW CRUDE INLE,07,COD as O2,374.0000
ABURN STW CRUDE INLE,08,BOD ATU,586.0000
ABURN STW CRUDE INLE,08,COD as O2,1640.0000
ABURN STW CRUDE INLE,09,BOD ATU,212.6667
ABURN STW CRUDE INLE,09,COD as O2,587.6667
ABURN STW CRUDE INLE,10,BOD ATU,79.5000
ABURN STW CRUDE INLE,10,COD as O2,245.5000
AC DISHFORTH STW - FINAL EFFLUEN,01,Ammonia(N),0.5000
AC DISHFORTH STW - FINAL EFFLUEN,01,BOD ATU,6.3000
AC DISHFORTH STW - FINAL EFFLUEN,02,NO FLOW/SAMP,0.0000
AC DISHFORTH STW - FINAL EFFLUEN,03,NO FLOW/SAMP,0.0000
AC DISHFORTH STW - FINAL EFFLUEN,04,NO FLOW/SAMP,0.0000
AC DISHFORTH STW - FINAL EFFLUEN,05,NO FLOW/SAMP,0.0000
AC DISHFORTH STW - FINAL EFFLUEN,06,Ammonia(N),0.5000
AC DISHFORTH STW - FINAL EFFLUEN,06,BOD ATU,4.0000
AC DISHFORTH STW - FINAL EFFLUEN,07,NO FLOW/SAMP,0.0000
AC DISHFORTH STW - FINAL EFFLUEN,08,NO FLOW/SAMP,0.0000
AC DISHFORTH STW - FINAL EFFLUEN,09,Ammonia(N),0.5000
AC DISHFORTH STW - FINAL EFFLUEN,09,BOD ATU,7.0000
AC DISHFORTH STW - FINAL EFFLUEN,10,Ammonia(N),0.5000
AC DISHFORTH STW - FINAL EFFLUEN,10,BOD ATU,3.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,Alky pH 4.5,66.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,Ammonia(N),0.2800
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,Chloride Ion,14.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,Cond @ 25C,199.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,Flow Type,6.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,NH3 un-ion,0.0003
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,Nitrate-N,0.4580
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,Nitrite-N,0.0120
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,O Diss %sat,9901.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,Temp Water,6.2000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,01,pH,6.8800
ACKING DRAIN TRIB OF THE BECK/BIELBY B,02,Alky pH 4.5,140.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,02,Cond @ 25C,405.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,02,Flow Type,4.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,02,O Diss %sat,9901.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,02,Temp Water,4.8000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,02,pH,6.9900
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,Alky pH 4.5,180.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,Ammonia(N),0.6500
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,Chloride Ion,28.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,Cond @ 25C,522.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,Flow Type,4.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,NH3 un-ion,0.0012
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,Nitrate-N,0.4010
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,Nitrite-N,0.0190
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,O Diss %sat,9901.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,Temp Water,7.2000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,03,pH,7.1000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,Alky pH 4.5,180.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,Ammonia(N),0.5800
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,Chloride Ion,28.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,Cond @ 25C,505.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,NH3 un-ion,0.0017
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,Nitrate-N,0.2660
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,Nitrite-N,0.0240
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,O Diss %sat,9901.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,Temp Water,11.8000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,04,pH,7.1300
ACKING DRAIN TRIB OF THE BECK/BIELBY B,05,Alky pH 4.5,320.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,05,Ammonia(N),2.2000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,05,Chloride Ion,39.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,05,Cond @ 25C,855.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,05,Flow Type,5.0000
ACKING DRAIN TRIB OF THE BECK/BIELBY B,05,NH3 un-ion,0.0072
ACKING DRAIN TRIB OF THE BECK/BIELBY B,05,Nitrate-N,0.1770
ACKING DRAIN TRIB OF THE BECK/BIELBY B,05,Nitrite-N,0.0230
ACKING DRAIN TRIB OF THE BECK/BIELBY B,05,O Diss %sat,9901.0000
